id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
"2021-1600770","2021-06-17","1","Vente","520000.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1052","nan","1084","52.02","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.373428","48.860671","000BB"
"2021-1599998","2021-06-07","1","Vente","1110000.0","70","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0008","None","None","213","nan","301","nan","None","nan","None","None","None","None","2","2","Appartement","106.0","5","None","None","None","None","None","2.373543","48.861201","000BB"
"2021-1599998","2021-06-07","1","Vente","1110000.0","70","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0008","None","None","335","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373543","48.861201","000BB"
"2021-1599998","2021-06-07","1","Vente","1110000.0","70","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0008","None","None","213","nan","301","nan","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.373543","48.861201","000BB"
"2021-1599998","2021-06-07","1","Vente","1110000.0","70","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0008","None","None","213","nan","301","nan","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.373543","48.861201","000BB"
"2021-1599828","2021-06-03","1","Vente","367600.0","8","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0014","None","None","10","nan","52","nan","53","nan","None","None","None","None","3","2","Appartement","27.0","1","None","None","None","None","None","2.37449","48.860429","000BB"
"2021-1599828","2021-06-03","1","Vente","367600.0","8","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0014","None","None","10","nan","52","nan","53","nan","None","None","None","None","3","3","Dépendance","nan","0","None","None","None","None","None","2.37449","48.860429","000BB"
"2021-1616377","2021-04-29","1","Vente","531000.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1061","nan","1126","52.09","None","nan","None","None","None","None","2","2","Appartement","55.0","2","None","None","None","None","None","2.373428","48.860671","000BB"
"2021-1616091","2021-04-26","1","Vente","865000.0","61","None","RUE POPINCOURT","7626","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0018","None","None","116","73.02","117","nan","None","nan","None","None","None","None","2","2","Appartement","75.0","4","None","None","None","None","None","2.375142","48.860339","000BB"
"2021-1616105","2021-04-26","1","Vente","388000.0","66","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0007","None","None","19","37.06","59","nan","None","nan","None","None","None","None","2","2","Appartement","37.0","2","None","None","None","None","None","2.373389","48.861394","000BB"
